Filename,Time (ms)
7.1.10.tiff,212.19
4.2.06.tiff,162.35
5.1.13.tiff,18.58
7.1.06.tiff,92.51
4.1.01.tiff,26.11
4.1.02.tiff,24.88
5.1.12.tiff,22.9
4.1.07.tiff,27.4
4.2.07.tiff,84.09
7.1.05.tiff,89.91
5.2.09.tiff,89.63
7.1.07.tiff,90.61
7.2.01.tiff,466.59
5.1.10.tiff,18.95
7.1.09.tiff,96.94
ruler.512.tiff,13.29
4.2.01.tiff,136.69
7.1.08.tiff,118.0
7.1.02.tiff,99.54
5.2.08.tiff,117.21
4.1.03.tiff,37.51
house.tiff,91.09
4.1.05.tiff,26.61
gray21.512.tiff,8.41
4.2.03.tiff,63.64
5.1.09.tiff,25.35
4.1.04.tiff,31.54
5.3.02.tiff,361.03
4.2.05.tiff,115.97
4.1.06.tiff,21.29
7.1.04.tiff,109.93
7.1.01.tiff,105.12
7.1.03.tiff,107.74
5.2.10.tiff,100.1
5.1.11.tiff,27.49
4.1.08.tiff,27.76
boat.512.tiff,99.7
5.1.14.tiff,21.18
5.3.01.tiff,396.39
